,popularity,artist_name,genres,artist_id,followers
90,79,Diplo,"['edm', 'electro house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']",5fMUXHkw8R8eOP2RNVYEZX,"{'href': None, 'total': 2501130}"
91,75,Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",20sxb77xiYeusSH8cVdatc,"{'href': None, 'total': 6454716}"
92,77,The Notorious B.I.G.,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",5me0Irg2ANcsgc93uaYrpb,"{'href': None, 'total': 7968067}"
93,71,George Strait,"['contemporary country', 'country', 'country road', 'country rock']",5vngPClqofybhPERIqQMYd,"{'href': None, 'total': 3331758}"
94,84,Maluma,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",1r4hJ1h58CWwUQe3MxPuau,"{'href': None, 'total': 31963361}"
95,76,My Chemical Romance,"['emo', 'pop punk', 'rock']",7FBcuc1gsnv6Y1nwFtNRCb,"{'href': None, 'total': 7093193}"
96,78,Dr. Dre,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",6DPYiyq5kWVQS4RGwxzPC7,"{'href': None, 'total': 7816766}"
97,84,Myke Towers,"['latin', 'reggaeton', 'trap latino']",7iK8PXO48WeuP03g8YR51W,"{'href': None, 'total': 9338138}"
98,82,Camila Cabello,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",4nDoRrQiYLoBzwC5BhVJzF,"{'href': None, 'total': 27841694}"
99,77,John Mayer,"['neo mellow', 'singer-songwriter']",0hEurMDQu99nJRq8pTxO14,"{'href': None, 'total': 5608476}"
100,80,AC/DC,"['australian rock', 'hard rock', 'rock']",711MCceyCBcFnzjGY4Q7Un,"{'href': None, 'total': 24292501}"
101,72,Miranda Lambert,"['contemporary country', 'country', 'country dawn', 'country road']",66lH4jAE7pqPlOlzUKbwA0,"{'href': None, 'total': 3304578}"
102,76,Kehlani,"['dance pop', 'pop', 'pop rap', 'r&b']",0cGUm45nv7Z6M6qdXYQGTX,"{'href': None, 'total': 6089568}"
103,80,Elvis Presley,"['rock-and-roll', 'rockabilly']",43ZHCT0cAZBISjO8DG9PnE,"{'href': None, 'total': 7082687}"
104,72,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",4MoAOfV4ROWofLG3a3hhBN,"{'href': None, 'total': 1449845}"
106,80,The Chainsmokers,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",69GGBxA162lTqCwzJG5jLp,"{'href': None, 'total': 19385599}"
107,75,YG,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0A0FS04o6zMoto8OKPsDwY,"{'href': None, 'total': 2915060}"
